#   1H-bar  PAMELA(2006/07-2008/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.800000e-01 1.200000e-01 4.400000e-01 6.700000e-03 2.700000e-03 2.700000e-03 2.000000e-04 2.000000e-04 2.707397e-03 2.707397e-03
5.600000e-01 4.400000e-01 6.900000e-01 1.530000e-02 3.700000e-03 7.500000e-03 9.000000e-04 9.000000e-04 3.807887e-03 7.553807e-03
8.100000e-01 6.900000e-01 9.400000e-01 1.720000e-02 3.900000e-03 7.400000e-03 1.100000e-03 1.100000e-03 4.052160e-03 7.481310e-03
1.070000e+00 9.400000e-01 1.200000e+00 2.140000e-02 3.900000e-03 6.800000e-03 1.300000e-03 1.300000e-03 4.110961e-03 6.923150e-03
1.340000e+00 1.200000e+00 1.480000e+00 2.450000e-02 4.300000e-03 7.200000e-03 1.500000e-03 1.500000e-03 4.554119e-03 7.354590e-03
1.610000e+00 1.480000e+00 1.800000e+00 2.050000e-02 3.200000e-03 3.200000e-03 1.200000e-03 1.200000e-03 3.417601e-03 3.417601e-03
2.030000e+00 1.800000e+00 2.190000e+00 2.710000e-02 3.300000e-03 3.300000e-03 1.600000e-03 1.600000e-03 3.667424e-03 3.667424e-03
2.420000e+00 2.190000e+00 2.630000e+00 2.190000e-02 2.600000e-03 2.600000e-03 1.300000e-03 1.300000e-03 2.906888e-03 2.906888e-03
2.900000e+00 2.630000e+00 3.160000e+00 2.270000e-02 2.500000e-03 2.500000e-03 1.300000e-03 1.300000e-03 2.817801e-03 2.817801e-03
3.470000e+00 3.160000e+00 3.770000e+00 1.780000e-02 1.900000e-03 1.900000e-03 1.000000e-03 1.000000e-03 2.147091e-03 2.147091e-03
4.140000e+00 3.770000e+00 4.500000e+00 1.570000e-02 1.600000e-03 1.600000e-03 9.000000e-04 9.000000e-04 1.835756e-03 1.835756e-03
4.930000e+00 4.500000e+00 5.360000e+00 1.110000e-02 1.100000e-03 1.100000e-03 7.000000e-04 7.000000e-04 1.303840e-03 1.303840e-03
5.900000e+00 5.330000e+00 6.420000e+00 8.310000e-03 8.600000e-04 8.600000e-04 4.900000e-04 4.900000e-04 9.897980e-04 9.897980e-04
7.000000e+00 6.420000e+00 7.610000e+00 5.560000e-03 6.400000e-04 6.400000e-04 3.300000e-04 3.300000e-04 7.200694e-04 7.200694e-04
8.400000e+00 7.610000e+00 9.200000e+00 5.160000e-03 5.700000e-04 5.700000e-04 3.000000e-04 3.000000e-04 6.441273e-04 6.441273e-04
1.010000e+01 9.200000e+00 1.100000e+01 3.700000e-03 3.800000e-04 3.800000e-04 2.200000e-04 2.200000e-04 4.390900e-04 4.390900e-04
1.230000e+01 1.100000e+01 1.360000e+01 2.120000e-03 2.600000e-04 2.600000e-04 1.200000e-04 1.200000e-04 2.863564e-04 2.863564e-04
1.530000e+01 1.360000e+01 1.710000e+01 1.390000e-03 1.900000e-04 1.900000e-04 8.000000e-05 8.000000e-05 2.061553e-04 2.061553e-04
1.960000e+01 1.710000e+01 2.230000e+01 6.700000e-04 1.000000e-04 1.000000e-04 4.000000e-05 4.000000e-05 1.077033e-04 1.077033e-04
2.620000e+01 2.230000e+01 3.070000e+01 2.510000e-04 4.100000e-05 4.100000e-05 1.500000e-05 1.500000e-05 4.365776e-05 4.365776e-05
3.800000e+01 3.070000e+01 4.750000e+01 1.270000e-04 2.300000e-05 2.300000e-05 7.000000e-06 7.000000e-06 2.404163e-05 2.404163e-05
6.740000e+01 4.750000e+01 9.900000e+01 2.280000e-05 7.200000e-06 7.200000e-06 8.000000e-07 8.000000e-07 7.244308e-06 7.244308e-06
1.280000e+02 9.900000e+01 1.790000e+02 3.600000e-06 2.000000e-06 5.700000e-06 2.000000e-07 2.000000e-07 2.009975e-06 5.703508e-06
