#   ELECTRON  PAMELA(2006/07-2010/01)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.110000e+00 0.000000e+00 0.000000e+00 4.267009e+01 2.735262e-01 2.735262e-01 1.777920e+00 1.777920e+00 1.798837e+00 1.798837e+00
1.280000e+00 0.000000e+00 0.000000e+00 5.599396e+01 4.194304e-01 4.194304e-01 2.306867e+00 2.306867e+00 2.344687e+00 2.344687e+00
1.470000e+00 0.000000e+00 0.000000e+00 7.306003e+01 3.176523e-01 3.176523e-01 3.176523e+00 3.176523e+00 3.192366e+00 3.192366e+00
1.680000e+00 0.000000e+00 0.000000e+00 8.914267e+01 4.741632e-01 4.741632e-01 3.793305e+00 3.793305e+00 3.822825e+00 3.822825e+00
1.930000e+00 0.000000e+00 0.000000e+00 1.080515e+02 5.751245e-01 5.751245e-01 4.313434e+00 4.313434e+00 4.351607e+00 4.351607e+00
2.220000e+00 0.000000e+00 0.000000e+00 1.306361e+02 7.658734e-01 7.658734e-01 5.470524e+00 5.470524e+00 5.523875e+00 5.523875e+00
2.550000e+00 0.000000e+00 0.000000e+00 1.487349e+02 8.290687e-01 8.290687e-01 6.632550e+00 6.632550e+00 6.684166e+00 6.684166e+00
2.920000e+00 0.000000e+00 0.000000e+00 1.660636e+02 9.958836e-01 9.958836e-01 7.469127e+00 7.469127e+00 7.535227e+00 7.535227e+00
3.360000e+00 0.000000e+00 0.000000e+00 1.805613e+02 1.137992e+00 1.137992e+00 7.586611e+00 7.586611e+00 7.671486e+00 7.671486e+00
3.850000e+00 0.000000e+00 0.000000e+00 1.940265e+02 1.141332e+00 1.141332e+00 5.706662e+00 5.706662e+00 5.819676e+00 5.819676e+00
4.420000e+00 0.000000e+00 0.000000e+00 1.986070e+02 1.727018e+00 1.727018e+00 8.635089e+00 8.635089e+00 8.806098e+00 8.806098e+00
5.100000e+00 0.000000e+00 0.000000e+00 2.069355e+02 1.326510e+00 1.326510e+00 9.285570e+00 9.285570e+00 9.379842e+00 9.379842e+00
5.800000e+00 0.000000e+00 0.000000e+00 2.068187e+02 1.951120e+00 1.951120e+00 9.755601e+00 9.755601e+00 9.948800e+00 9.948800e+00
6.700000e+00 0.000000e+00 0.000000e+00 2.165494e+02 2.105341e+00 2.105341e+00 9.022889e+00 9.022889e+00 9.265257e+00 9.265257e+00
7.700000e+00 0.000000e+00 0.000000e+00 2.145705e+02 2.282665e+00 2.282665e+00 9.130659e+00 9.130659e+00 9.411668e+00 9.411668e+00
8.800000e+00 0.000000e+00 0.000000e+00 2.112563e+02 2.725888e+00 2.725888e+00 6.814720e+00 6.814720e+00 7.339678e+00 7.339678e+00
1.010000e+01 0.000000e+00 0.000000e+00 1.967875e+02 3.090903e+00 3.090903e+00 8.242409e+00 8.242409e+00 8.802897e+00 8.802897e+00
1.160000e+01 0.000000e+00 0.000000e+00 1.966729e+02 3.121792e+00 3.121792e+00 7.804481e+00 7.804481e+00 8.405683e+00 8.405683e+00
1.340000e+01 0.000000e+00 0.000000e+00 1.900822e+02 4.812208e+00 4.812208e+00 7.218311e+00 7.218311e+00 8.675331e+00 8.675331e+00
1.530000e+01 0.000000e+00 0.000000e+00 1.862420e+02 3.581577e+00 3.581577e+00 7.163155e+00 7.163155e+00 8.008651e+00 8.008651e+00
1.760000e+01 0.000000e+00 0.000000e+00 1.777279e+02 4.361421e+00 4.361421e+00 5.451777e+00 5.451777e+00 6.981681e+00 6.981681e+00
2.020000e+01 0.000000e+00 0.000000e+00 1.714421e+02 4.945446e+00 4.945446e+00 7.418168e+00 7.418168e+00 8.915529e+00 8.915529e+00
2.320000e+01 0.000000e+00 0.000000e+00 1.573383e+02 4.994868e+00 4.994868e+00 6.243585e+00 6.243585e+00 7.995690e+00 7.995690e+00
2.660000e+01 0.000000e+00 0.000000e+00 1.675078e+02 5.646329e+00 5.646329e+00 7.528439e+00 7.528439e+00 9.410549e+00 9.410549e+00
3.060000e+01 0.000000e+00 0.000000e+00 1.489936e+02 5.730523e+00 5.730523e+00 5.730523e+00 5.730523e+00 8.104183e+00 8.104183e+00
3.510000e+01 0.000000e+00 0.000000e+00 1.600011e+02 8.648709e+00 8.648709e+00 8.648709e+00 8.648709e+00 1.223112e+01 1.223112e+01
4.030000e+01 0.000000e+00 0.000000e+00 1.439918e+02 6.545082e+00 6.545082e+00 5.890574e+00 5.890574e+00 8.805507e+00 8.805507e+00
4.630000e+01 0.000000e+00 0.000000e+00 1.389540e+02 9.925284e+00 9.925284e+00 5.955170e+00 5.955170e+00 1.157477e+01 1.157477e+01
