# PAMELA proton data from  M. Boezio  (2011)
# EkinMe(GeV)Ekinmin    Ekinmax  DiffFlux(1/m2/s/sr/GeV)  ErrorStat(1/m2/sr/GeV)  ErrorSyst
  0.44       0.43       0.46    1.581e+3                 3                       6.0e+1    
  0.48       0.46       0.50    1.549e+3                 3                       6.0e+1    
  0.52       0.50       0.54    1.527e+3                 3                       6.0e+1   
  0.56       0.54       0.58    1.484e+3                 3                       6.0e+1
  0.60       0.58       0.62    1.444e+3                 2                       6.0e+1
  0.65       0.62       0.67    1.402e+3                 2                       5.0e+1
  0.70       0.67       0.72    1.349e+3                 2                       5.0e+1  
  0.75       0.72       0.77    1.293e+3                 2                       5.0e+1 
  0.80       0.77       0.83    1.233e+3                 2                       5.0e+1 
  0.86       0.83       0.89    1.171e+3                 2                       4.0e+1
  0.92       0.89       0.96    1.113e+3                 2                       4.0e+1 
  0.99       0.96       1.02    1.053e+3                 2                       4.0e+1
  1.06       1.02       1.09     9.96e+2                 1                       4.0e+1
  1.13       1.09       1.17     9.33e+2                 1                       4.0e+1
  1.21       1.17       1.25     8.71e+2                 1                       3.0e+1
  1.29       1.25       1.33     8.13e+2                 1                       3.0e+1
  1.38       1.33       1.42     7.58e+2                 1                       3.0e+1
  1.47       1.42       1.52     7.03e+2                 1                       3.0e+1
  1.57       1.52       1.62    6.526e+2                 0.9                     3.0e+1
  1.67       1.62       1.72    6.018e+2                 0.8                     2.0e+1
  1.78       1.72       1.83    5.555e+2                 0.8                     2.0e+1
  1.89       1.83       1.95    5.100e+2                 0.7                     2.0e+1
  2.01       1.95       2.07    4.720e+2                 0.7                     2.0e+1
  2.13       2.07       2.20    4.343e+2                 0.6                     2.0e+1 
  2.27       2.20       2.33    3.965e+2                 0.6                     2.0e+1
  2.40       2.33       2.47    3.624e+2                 0.5                     1.0e+1
  2.55       2.47       2.62    3.315e+2                 0.5                     1.0e+1
  2.70       2.62       2.78    3.032e+2                 0.4                     1.0e+1
  2.86       2.78       2.94    2.760e+2                 0.4                     1.0e+1
  3.03       2.94       3.12    2.502e+2                 0.4                       9
  3.21       3.12       3.30    2.270e+2                 0.4                       9
  3.39       3.30       3.49    2.058e+2                 0.3                       8
  3.59       3.49       3.69    1.872e+2                 0.3                       7
  3.90       3.69       4.12    1.607e+2                 0.2                       6
  4.35       4.12       4.59    1.302e+2                 0.2                       5
  4.84       4.59       5.11    1.053e+2                 0.1                       4 
  5.38       5.11       5.68     8.48e+1                 0.1                       3 
  5.98       5.68       6.30     6.80e+1                 0.1                       3 
  6.64       6.30       6.99    5.448e+1                 8e-2                      2
  7.36       6.99       7.74    4.333e+1                 7e-2                      2
  8.15       7.74       8.57    3.440e+1                 6e-2                      1 
  9.01       8.57       9.48    2.728e+1                 5e-2                      1
  9.97       9.48      10.48    2.162e+1                 4e-2                    0.8
 11.01      10.48      11.57    1.700e+1                 3e-2                    0.6
 12.16      11.57      12.77    1.335e+1                 3e-2                    0.5 
 13.41      12.77      14.09    1.051e+1                 2e-2                    0.4
 14.79      14.09      14.54     8.28                    2e-2                    0.3        
 16.31      15.54      17.12     6.47                    2e-2                    0.3  
 17.96      17.12      18.86     5.01                    1e-2                    0.2
 19.78      18.86      20.76     3.90                    1e-2                    0.2 
 21.78      20.76      22.85    3.050                    9e-3                    0.1
 23.97      22.85      25.15    2.367                    7e-3                      9e-2
 26.37      25.15      27.66    1.828                    6e-3                      7e-2
 29.00      27.66      30.42    1.420                    5e-3                      5e-2 
 31.88      30.42      33.44    1.107                    4e-3                      4e-2
 35.05      33.44      36.75     8.49e-1                 4e-3                      3e-2
 38.52      36.75      40.39     6.53e-1                 3e-3                      3e-2
 42.32      40.39      44.37     5.09e-1                 3e-3                      2e-2
 46.49      44.37      48.74     3.97e-1                 2e-3                      2e-2
 51.07      48.74      53.53     3.01e-1                 2e-3                      1e-2
 56.08      53.53      58.79     2.33e-1                 2e-3                      9e-3 
 61.58      58.79      64.55     1.78e-1                 1e-3                      7e-3
 67.61      64.55      70.86     1.41e-1                 1e-3                      5e-3
 74.22      70.86      77.79    1.103e-1                 9e-4                      4e-3
 81.47      77.79      85.38     8.31e-2                 8e-4                      3e-3
 89.42      85.38      93.71     6.33e-2                 6e-4                      3e-3
100.41      93.71     107.73     4.59e-2                 4e-4                      2e-3 
115.42     107.73     123.83     3.12e-2                 3e-4                      1e-3 
132.66     123.83     142.31     2.09e-2                 3e-4                      8e-4
152.46     142.31     163.54     1.42e-2                 2e-4                      6e-4
175.18     163.54     187.90      9.5e-3                 2e-4                      4e-4
201.27     187.90     215.88      6.4e-3                 1e-4                      3e-4
231.23     215.88     248.00     4.17e-3                 8e-5                      2e-4        
265.62     248.00     284.88     2.97e-3                 7e-5                      1e-4
305.12     284.88     327.23     2.02e-3                 5e-5                      9e-5
358.45     327.23     393.60     1.32e-3                 3e-5                      6e-5
450.82     393.60     519.17      6.8e-4                 2e-5                      4e-5  
581.52     519.17     653.84      3.8e-4                 2e-5                      3e-5
748.78     653.84     862.22      1.9e-4                 1e-5                      2e-5
1009.4     862.22    1190.55      8.1e-5                 7e-6                      1e-5
